"","President","File","Term","Party","Words"
"1","Abraham Lincoln","AbrahamLincoln",1,"Republican","3637"
"2","Abraham Lincoln","AbrahamLincoln",2,"Republican","700"
"3","Ulysses S. Grant","UlyssesSGrant",1,"Republican","1127"
"4","Ulysses S. Grant","UlyssesSGrant",2,"Republican","1339"
"5","William McKinley","WilliamMcKinley",1,"Republican","3968"
"6","William McKinley","WilliamMcKinley",2,"Republican","2218"
"7","Dwight D. Eisenhower","DwightDEisenhower",1,"Republican","2459"
"8","Dwight D. Eisenhower","DwightDEisenhower",2,"Republican","1658"
"9","Richard Nixon","RichardNixon",1,"Republican","2128"
"10","Richard Nixon","RichardNixon",2,"Republican","1803"
"11","Ronald Reagan","RonaldReagan",1,"Republican","2427"
"12","Ronald Reagan","RonaldReagan",2,"Republican","2561"
"13","George W. Bush","GeorgeWBush",1,"Republican","1592"
"14","George W. Bush","GeorgeWBush",2,"Republican","2071"
"15","Andrew Jackson","AndrewJackson",1,"Democratic","1128"
"16","Andrew Jackson","AndrewJackson",2,"Democratic","1176"
"17","Grover Cleveland - II","GroverCleveland-II",2,"Democratic","2015"
"18","Woodrow Wilson","WoodrowWilson",1,"Democratic","1704"
"19","Woodrow Wilson","WoodrowWilson",2,"Democratic","1526"
"20","Franklin D. Roosevelt","FranklinDRoosevelt",1,"Democratic","1880"
"21","Franklin D. Roosevelt","FranklinDRoosevelt",2,"Democratic","1808"
"22","Franklin D. Roosevelt","FranklinDRoosevelt",3,"Democratic","1359"
"23","Franklin D. Roosevelt","FranklinDRoosevelt",4,"Democratic","559"
"24","William J. Clinton","WilliamJClinton",1,"Democratic","1598"
"25","William J. Clinton","WilliamJClinton",2,"Democratic","2155"
"26","Barack Obama","BarackObama",1,"Democratic","2395"
"27","Barack Obama","BarackObama",2,"Democratic","2096"
